ANO_INGRESSO,ANO_EVASAO,ID_SEXO,ID_ETNIA,INGRESSO,COTA,CHAMADA,SITUACAO,NOME_CURSO_AJUSTADO,TURNO_CURSO,SIGLA_CENTRO,DURACAO,CENSURA,TEMPO
2016,2021.0,2,6,SiSU,Universal,Chamada,Conclusão,Arquitetura e Urbanismo/CT,D,CT,5.0,1,5.0
2016,2021.0,2,2,Vestibular,Social e Racial,Chamada,Conclusão,Arquitetura e Urbanismo/CT,D,CT,5.0,1,5.0
2016,,2,4,SiSU,Social,Chamada,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,6.0
2016,,2,1,SiSU,Universal,Chamada,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,6.0
2016,2017.0,1,1,Vestibular,Escola Pública,Chamada,Desistência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,1.0
2016,,2,6,SiSU,Universal,Chamada,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,6.0
2016,2021.0,2,6,SiSU,Social,Chamada,Conclusão,Arquitetura e Urbanismo/CT,D,CT,5.0,1,5.0
2016,,2,6,SiSU,Universal,Chamada,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,6.0
2016,,1,2,SiSU,Social,Chamada,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,6.0
2014,,1,1,Transferências,Sem informação,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,8.0
2017,,2,1,Transferências,Sem informação,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,5.0
2017,,2,4,SiSU,Racial,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,5.0
2016,2017.0,2,1,Transferências,Sem informação,Listão,Desistência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,1.0
2016,2018.0,2,1,Transferências,Sem informação,Listão,Conclusão,Arquitetura e Urbanismo/CT,D,CT,5.0,1,2.0
