ANO_INGRESSO,ANO_EVASAO,ID_SEXO,ID_ETNIA,INGRESSO,COTA,CHAMADA,SITUACAO,NOME_CURSO_AJUSTADO,TURNO_CURSO,SIGLA_CENTRO,DURACAO,CENSURA,TEMPO
2016,2019.0,2,6,Transferências,Sem informação,Listão,Conclusão,Arquitetura e Urbanismo/CT,D,CT,5.0,1,3.0
2017,,2,1,SiSU,Universal,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,5.0
2017,,2,6,SiSU,PCD,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,5.0
2017,,2,1,SiSU,Social,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,5.0
2017,,2,1,SiSU,Universal,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,5.0
2016,2019.0,2,1,Transferências,Sem informação,Listão,Conclusão,Arquitetura e Urbanismo/CT,D,CT,5.0,1,3.0
2017,,2,1,SiSU,Universal,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,5.0
2017,2021.0,2,1,Transferências,Sem informação,Listão,Conclusão,Arquitetura e Urbanismo/CT,D,CT,5.0,1,4.0
2017,,2,1,SiSU,Racial,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,5.0
2017,2017.0,1,1,SiSU,PCD,Listão,Desistência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,0.0
2017,,2,1,Processo Seletivo Seriado,Escola Pública,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,5.0
2017,,2,1,Processo Seletivo Seriado,Universal,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,5.0
2017,,2,1,SiSU,Universal,Listão,Permanência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,5.0
2017,2018.0,2,4,SiSU,Racial,Listão,Desistência,Arquitetura e Urbanismo/CT,D,CT,5.0,0,1.0
